cname,sname,id,ResourceID
Santa Cruz Island gooseberry,Ribes thacherianum,"1401",03298dfd-7820-4fb3-95a7-37a75ab38305
Santa Cruz Island ironwood,Lyonothamnus floribundus ssp. aspleniifolius,"1402",55e7a14d-2a64-4567-a936-36977f90b7ab
Santa Cruz Island malacothrix,Malacothrix indecora,"1403",c237351e-7001-4828-817e-6519105cf584
Santa Cruz Island monkeyflower,Diplacus brandegeei,"1404",30b5ac7a-8484-43c9-be04-e03965a3d972
Santa Cruz Island shore weevil,Trigonoscuta stantoni,"1405",0522a914-a177-4963-9e9a-a822703a53a4
Santa Cruz Island winged-rockcress,Sibara filifolia,"1406",19de3ab2-b36e-49ab-aaa7-f740bb3d16dd
Santa Cruz Mountains beardtongue,Penstemon rattanii var. kleei,"1407",0957b760-1eca-4a43-819a-4a18061a923d
Santa Cruz Mountains pussypaws,Calyptridium parryi var. hesseae,"1408",a4664517-a53c-4ba6-b661-384f886de6ce
Santa Cruz black salamander,Aneides flavipunctatus niger,"1409",e5d77ac3-0448-419b-8ab6-b7c6629d1f75
Santa Cruz clover,Trifolium buckwestiorum,"1410",1660c739-072c-40e6-acd1-54d189363399
Santa Cruz cypress,Hesperocyparis abramsiana var. abramsiana,"1411",ec4e2856-fdb9-4b80-bf72-d78fb37e4db2
Santa Cruz harvest mouse,Reithrodontomys megalotis santacruzae,"1412",5e29e2de-2654-4ba8-be2a-e92bc6f6ac8b
Santa Cruz kangaroo rat,Dipodomys venustus venustus,"1413",25881cdc-9a2a-4cb9-ba39-4c50ce37e369
Santa Cruz long-toed salamander,Ambystoma macrodactylum croceum,"1414",7b0e069a-117f-4a9b-8978-b93e5295a65d
Santa Cruz microseris,Stebbinsoseris decipiens,"1415",54f02fbd-46b0-4715-8437-7e3d888f9e3f
Santa Cruz tarplant,Holocarpha macradenia,"1416",f9eec053-2561-4229-8912-8f39cd61ca37
Santa Cruz wallflower,Erysimum teretifolium,"1417",c8218acb-224f-49e0-b26e-ade4e5ba8941
Santa Lucia bedstraw,Galium clementis,"1418",26d30454-b8c2-46a3-9dd6-c2c38e14c70a
Santa Lucia bush-mallow,Malacothamnus palmeri var. palmeri,"1419",ce571be2-458d-4112-b752-ce58fb8bfa0b
Santa Lucia dwarf rush,Juncus luciensis,"1420",660f2138-0efa-4408-93b5-0a0f8980e358
Santa Lucia manzanita,Arctostaphylos luciana,"1421",31a2fa36-cb18-47bd-bfa2-07abe94facdc
Santa Lucia mint,Pogogyne clareana,"1422",dccd0a81-da5a-46df-8144-f468c8439a52
Santa Lucia monkeyflower,Erythranthe hardhamiae,"1423",8b497732-8e19-4a3b-9f2a-87a15f3fdcb3
Santa Lucia purple amole,Chlorogalum purpureum var. purpureum,"1424",80754773-d3ba-4081-a382-16378677037c
Santa Margarita manzanita,Arctostaphylos pilosula,"1425",fe6585a8-0bc3-43d8-bff9-6747be4450f2
Santa Monica dudleya,Dudleya cymosa ssp. ovatifolia,"1426",b5745ad9-58f0-458c-8685-684ffd17434f
Santa Monica grasshopper,Trimerotropis occidentiloides,"1427",d3b26dc8-63d3-4fd5-b206-59bd7b26bedd
Santa Monica shieldback katydid,Aglaothorax longipennis,"1428",5c6ae5cb-60c8-496b-a137-91c913a0ec95
Santa Rosa Basalt brodiaea,Brodiaea santarosae,"1429",77bff59e-033b-4cc5-818a-b7d745376f2a
Santa Rosa Island Torrey pine,Pinus torreyana ssp. insularis,"1430",2ea5aa84-ba38-4fbb-86c2-cb6aedd60585
Santa Rosa Island dudleya,Dudleya blochmaniae ssp. insularis,"1431",3a7584ab-944e-46bb-8774-a0796190df1d
Santa Rosa Island fox,Urocyon littoralis santarosae,"1432",d2b3968b-fe97-4c19-a6c2-090b31135136
Santa Rosa Island manzanita,Arctostaphylos confertiflora,"1433",4fc83cec-0416-4b02-9545-848e4b2d09b2
Santa Rosa Mountains leptosiphon,Leptosiphon floribundus ssp. hallii,"1434",4ef15a07-380e-45fd-85d2-8a4ef776da1d
Sitka Spruce Forest,Sitka Spruce Forest,"1519",93442efa-b133-4c20-a7f3-6654851c7f79
Santa Rosa Plateau fairy shrimp,Linderiella santarosae,"1435",72ceced8-6100-4a22-9608-d18e025f5ec3
Santa Susana tarplant,Deinandra minthornii,"1436",4d6b2484-4cb9-464a-adca-c609f45b75fa
Santa Ynez false lupine,Thermopsis macrophylla,"1437",04dfdbea-d497-419f-9847-afee29dc499a
Santa Ynez groundstar,Ancistrocarphus keilii,"1438",f64085a0-116f-4c31-8634-61cf54bbcfe3
Santiago Peak phacelia,Phacelia keckii,"1439",f3ed94b2-cff7-4aff-877b-2c5b2c8f7710
Saratoga Springs belostoman bug,Belostoma saratogae,"1440",09e025bb-26ac-48ee-a83b-cb982012a042
Saratoga Springs pupfish,Cyprinodon nevadensis nevadensis,"1441",f7555510-a400-463a-88a0-6bd39f541a75
Sawyer's pussy-toes,Antennaria sawyeri,"1442",3ae0730f-81c6-4e17-a78a-ac298e6df893
Scadden Flat checkerbloom,Sidalcea stipularis,"1443",bc4f3b6a-670b-4df9-a7f1-cb16ccedaec9
Schoolcraft's cryptantha,Oreocarya schoolcraftii,"1444",451a762c-b7d5-41df-ad4b-ed2532dd3891
Schoolcraft's wild buckwheat,Eriogonum microthecum var. schoolcraftii,"1445",675df03f-6329-4425-9c3e-b03f6200fb6e
Schreiber's manzanita,Arctostaphylos glutinosa,"1446",507027be-17e6-491d-af28-65097898bf4a
Scott Bar salamander,Plethodon asupak,"1447",c1c618f4-9e24-47af-98ab-5c953efe467f
Scott Mountain bedstraw,Galium serpenticum ssp. scotticum,"1448",d28bd513-9822-44c8-9b75-bb746b3351c6
Scott Mountain howellanthus,Howellanthus dalesianus,"1449",dd35e4c7-008e-4140-94d5-73b4a47269bd
Scott Mountain sandwort,Sabulina stolonifera,"1450",7de3abe1-8d36-4f67-941a-753b4f80013b
Scott Mountains fawn lily,Erythronium citrinum var. roderickii,"1451",ac9cd9b3-0cd8-4762-963c-9e2069852954
Scott Valley buckwheat,Eriogonum umbellatum var. lautum,"1452",8c5f61af-c646-42f3-a699-ef977b0ee164
Scott Valley phacelia,Phacelia greenei,"1453",50e6ee29-0595-445b-b4c1-ea0722277e23
Scotts Valley polygonum,Polygonum hickmanii,"1454",3860fb2a-edcc-4d82-a31c-b4045c07e433
Scotts Valley spineflower,Chorizanthe robusta var. hartwegii,"1455",90dc81a5-811d-4d0d-8db1-d94526c3e52c
Scouler's catchfly,Silene scouleri ssp. scouleri,"1456",3018f92c-6580-4531-a633-3597c6f12d9f
Scribner's wheat grass,Elymus scribneri,"1457",a746d5cc-911f-4d9c-aa3f-61b1d365ec59
Scripps's murrelet,Synthliboramphus scrippsi,"1458",aeeed91f-937a-436d-8f8f-5f011a84d71b
Sebastopol meadowfoam,Limnanthes vinculans,"1459",cde02bd7-c528-455f-af2b-cc1ceebd30b2
Sequoia cave isopod,Bowmanasellus sequoiae,"1460",25988681-26f0-4024-b681-3452f0b92294
Sequoia gooseberry,Ribes tularense,"1461",91849191-fae9-4206-9a1f-dc72127d393f
Serpentine Bunchgrass,Serpentine Bunchgrass,"1462",4de7008b-604d-44db-b2fa-ae815a6c4b6b
Serpentine Canyon monkeyflower,Erythranthe percaulis,"1463",87109e41-ea2f-461c-a566-df602a19ae1c
Sharsmith's harebell,Campanula sharsmithiae,"1464",782525f2-910a-4594-841a-462e119877b2
Sharsmith's onion,Allium sharsmithiae,"1465",6b89345d-4886-49fa-80aa-e776e66f501b
Sharsmith's stickseed,Hackelia sharsmithii,"1466",5a30ad69-3658-4842-adea-679edfebb79a
Sharsmith's western flax,Hesperolinon sharsmithiae,"1467",959597e2-7291-4bb9-8ef8-2abfbe8c06d2
Shasta ageratina,Ageratina shastensis,"1468",d4b18dda-6ea7-4110-b7d5-fdfa55a818ee
Shasta chaenactis,Chaenactis suffrutescens,"1469",e746f80a-7e53-4d0e-bf63-3bddbf175c25
Shasta chaparral,Trilobopsis roperi,"1470",94baecfd-9011-497c-b9f3-44ec1c66a62e
Shasta clarkia,Clarkia borealis ssp. arida,"1471",876d9076-2ea5-47e5-b84e-5692b3ccf8ac
Shasta crayfish,Pacifastacus fortis,"1472",caf5b5ea-4858-4d48-836e-9354d793c934
Shasta fawn lily,Erythronium shastense,"1473",0fb27f67-4656-40e5-814a-a2a658f057fa
Shasta hesperian,Vespericola shasta,"1474",a27be83b-0007-4b87-b66f-584b1cc35e38
Shasta huckleberry,Vaccinium shastense ssp. shastense,"1475",8ae9e7ac-f979-4cca-88db-1c48efc00b8f
Shasta limestone monkeyflower,Erythranthe taylorii,"1476",5329671c-2a43-44cb-9602-1939258fbd12
Shasta orthocarpus,Orthocarpus pachystachyus,"1477",593d5578-ee97-4128-822c-ebefeedabc49
Shasta salamander,Hydromantes shastae,"1478",594478f4-5d69-4f29-90f6-63a8be79514a
Shasta sideband,Monadenia troglodytes troglodytes,"1479",22846760-33b6-464d-b976-d581c0428279
Shasta snow-wreath,Neviusia cliftonii,"1480",36c664d6-cf80-4a25-9934-258e2042d97e
Shaw's agave,Agave shawii var. shawii,"1481",383fa38f-2344-4ab8-9fa1-092d3b233d69
Sheldon's sedge,Carex sheldonii,"1482",52c7037b-9a56-4b0d-9b74-0983e3a0d7de
Shepard's snail,Pristiloma shepardae,"1483",212aad48-5229-4956-a490-39f012fd756b
Shevock's copper moss,Mielichhoferia shevockii,"1484",ca6434dd-aa4a-4910-b43c-18a26cebd3df
Shevock's golden-aster,Heterotheca shevockii,"1485",52a65607-36cf-4986-b6c1-e91c962191e4
Shevock's milk-vetch,Astragalus shevockii,"1486",a5bfdc81-9d44-4291-a9ed-32718561ac25
Shevock's rockcress,Boechera shevockii,"1487",d7a204b3-0d08-4374-b416-889737546363
Shirley Meadows star-tulip,Calochortus westonii,"1488",bcfcc381-bf8b-4219-be10-fb3bba9fcad7
Shockley's milk-vetch,Astragalus serenoi var. shockleyi,"1489",30a0ffb8-f3e0-46b7-adf5-c666c6898768
Shockley's rockcress,Boechera shockleyi,"1490",78dbcf4f-f073-4dcc-8201-4658479bf9db
Shoshone Cave harvestman,Texella shoshone,"1491",4354d0c3-24fc-4906-a435-23bfab3e705c
Shoshone Cave whip-scorpion,Hubbardia shoshonensis,"1492",d2768770-29e5-422f-b548-638a7d987ffe
Shoshone pupfish,Cyprinodon nevadensis shoshone,"1493",41908081-1a43-487a-9793-15aebd17492e
Shuteye Peak fawn lily,Erythronium pluriflorum,"1494",ffbcf323-2a27-497e-a960-2a83a3c84096
Sierra Nevada bighorn sheep,Ovis canadensis sierrae,"1495",93a4f969-3160-43f7-85c3-043e89504dd4
Sierra Nevada mountain beaver,Aplodontia rufa californica,"1496",b03a3bb9-5c8d-4799-94f7-efb9f14a6f61
Sierra Nevada red fox,Vulpes vulpes necator,"1497",ca56f9ef-a8f6-4d19-ad6b-ac072013a05d
Sierra Nevada snowshoe hare,Lepus americanus tahoensis,"1498",5b704533-a40b-4fd8-bea1-d304149bebd5
Sierra Nevada yellow-legged frog,Rana sierrae,"1499",9e8314c1-7407-42a9-8f4a-61fa91b7a716
Sierra Valley ivesia,Ivesia aperta var. aperta,"1500",d2ed7286-5644-4018-af95-5256024fb9c7
Sierra arching sedge,Carex cyrtostachya,"1501",f9167211-ea9c-49cf-8528-1d29e87d5fb5
Sierra blue grass,Poa sierrae,"1502",ef7c908e-062c-495a-a0d7-a681e38e5548
Sierra draba,Draba sierrae,"1503",625b12ab-763e-4733-be77-70f90b71389a
Sierra marten,Martes caurina sierrae,"1504",e12f4680-87d2-4e83-b735-290230c457d9
Sierra night lizard,Xantusia vigilis sierrae,"1505",aa78fbf3-e18a-445b-8532-9b68b19a8b4b
Sierra pygmy grasshopper,Tetrix sierrana,"1506",b5eebc0e-287b-4ee1-858d-4c18bb6f58c0
Sierra rush,Juncus nevadensis var. inventus,"1507",bedcc2e5-627a-4835-b4eb-c5aa03010974
Siskiyou Mountains salamander,Plethodon stormi,"1508",d03fa3d9-4ed0-4acf-8e51-3fd241d10699
Siskiyou bells,Prosartes parvifolia,"1509",ac1df669-8799-4f0c-beea-97543658c366
Siskiyou checkerbloom,Sidalcea malviflora ssp. patula,"1510",ff472fe8-cf1d-4a25-b7ea-be48631c3e65
Siskiyou clover,Trifolium siskiyouense,"1511",c1643217-7253-4ae7-8743-cea2a9df985c
Siskiyou fireweed,Epilobium siskiyouense,"1512",86774cc3-3ab5-4069-87e8-f91e6eb8750a
Siskiyou ground beetle,Nebria gebleri siskiyouensis,"1513",03dd024d-48f4-450a-8870-0268914054e3
Siskiyou hesperian,Vespericola sierranus,"1514",3bc91ddd-0571-4e16-8336-be31c49c40aa
Siskiyou mariposa-lily,Calochortus persistens,"1515",1d09bc1a-276e-4d25-8a46-0ff9c570b897
Siskiyou paintbrush,Castilleja elata,"1516",d4299269-1082-4fb9-8b76-62ef43def26c
Siskiyou phacelia,Phacelia leonis,"1517",3061f76b-c0c3-43d9-8f8c-bd657de45aca
Siskiyou shoulderband,Monadenia chaceana,"1518",5b06ce05-4ead-44b2-88b0-5ace8713a3b5
Small's southern clarkia,Clarkia australis,"1520",c01e3ad4-2083-41cc-bd89-72c9c768a401
Smith's blue butterfly,Euphilotes enoptes smithi,"1521",360f7026-5c52-457d-bb16-43c9494c3b51
Smoke Creek pyrg,Pyrgulopsis eremica,"1522",3150b5df-bd07-4e98-ab91-0a81c690f48e
Snow Mountain buckwheat,Eriogonum nervulosum,"1523",c8ed0ee9-1e7d-4a5b-aeaf-0e37e718305a
Snow Mountain rockcress,Boechera ultraalsa,"1524",c48a7c38-bc7a-4059-8cb4-cf9c72e1e277
Snow Mountain willowherb,Epilobium nivium,"1525",968ab97e-44d1-4219-9647-6b1d55197e8d
Socrates Mine jewelflower,Streptanthus brachiatus ssp. brachiatus,"1526",e419e87e-51c2-47e0-9c49-b12c37889c48
Sodaville milk-vetch,Astragalus lentiginosus var. sesquimetralis,"1527",5f6e8e37-4ad9-4cce-88c3-feafe45034a0
Sonoma alopecurus,Alopecurus aequalis var. sonomensis,"1528",c65ef9ec-8434-4ee3-be40-f4dcb93146c9
Sonoma arctic skipper,Carterocephalus palaemon magnus,"1529",1f346280-8310-41c4-a46c-5d2bfd0db03b
Sonoma beardtongue,Penstemon newberryi var. sonomensis,"1530",99b7dbbd-d1bc-417f-8c6a-0d1065d9df41
Sonoma ceanothus,Ceanothus sonomensis,"1531",1ab6641e-574c-44e4-9e59-11493bd5d9ed
Sonoma spineflower,Chorizanthe valida,"1532",6a0dbf2c-081d-4e53-ad28-ef84ac2764c5
Sonoma sunshine,Blennosperma bakeri,"1533",b33a59a0-daf7-4a85-a842-b6076f8f10b6
Sonoma tree vole,Arborimus pomo,"1534",2273afbd-5910-48f2-8ae1-3def59bfd2a9
Sonoma zerene fritillary,Speyeria zerene sonomensis,"1535",33946e3d-4e9e-490f-b8f2-8e8987c7a0c4
Sonoran Cottonwood Willow Riparian Forest,Sonoran Cottonwood Willow Riparian Forest,"1536",c88879ed-14d2-42c3-8e59-3d595b5a7d37
Sonoran desert toad,Incilius alvarius,"1537",756c17bb-76b5-47d7-80d1-ffd41f169282
Sonoran maiden fern,Thelypteris puberula var. sonorensis,"1538",816e34b7-8124-43f0-9ce0-c0c4a54e6335
Sonoran mud turtle,Kinosternon sonoriense,"1539",9dfdd3e4-48a0-4687-b665-ae79b93035e3
Sonoran yellow warbler,Setophaga petechia sonorana,"1540",83fc1bc3-af58-4364-94ce-399e1011b15d
South Fork Mountain lupine,Lupinus elmeri,"1541",6f432945-9daa-4ce9-900e-15b5242ad8fa
South Forks ground beetle,Nebria darlingtoni,"1542",a362ee54-48b3-4579-a6ff-c0b507291b54
Southern California Arroyo Chub/Santa Ana Sucker Stream,Southern California Arroyo Chub/Santa Ana Sucker Stream,"1543",6534024c-f3e5-42a0-a703-b848d73788da
Southern California Coastal Lagoon,Southern California Coastal Lagoon,"1544",37d80c8a-c709-45f1-9223-db8637362544
Southern California Steelhead Stream,Southern California Steelhead Stream,"1545",61c908cb-2f8a-4b5e-94bf-5126d0ea9cbd
Southern California Threespine Stickleback Stream,Southern California Threespine Stickleback Stream,"1546",8dd07961-8174-46d4-9205-19ca7ff8b946
Southern California rock draba,Draba saxosa,"1547",245c40fb-5d46-4fc3-a896-d4425fb042ba
Southern Coast Live Oak Riparian Forest,Southern Coast Live Oak Riparian Forest,"1548",2b25f473-e530-4078-bf4e-6e190df9b994
great gray owl,Strix nebulosa,"2061",dedb7a35-2d8d-425c-b16f-72dbf2fb3e81
Southern Coastal Bluff Scrub,Southern Coastal Bluff Scrub,"1549",78bb0280-ff34-4d9a-aee3-e7c5823977b4
Southern Coastal Salt Marsh,Southern Coastal Salt Marsh,"1550",9d29366d-4b6a-4194-be7f-5181296251db
Southern Cottonwood Willow Riparian Forest,Southern Cottonwood Willow Riparian Forest,"1551",c313d395-1208-40e6-845a-1a716c9d7b4e
Southern Dune Scrub,Southern Dune Scrub,"1552",1363abcb-6024-46ee-af53-9426884cb00e
Southern Foredunes,Southern Foredunes,"1553",a3c9cd2d-f3a4-4628-9ef0-1cefd3486e62
Southern Interior Basalt Flow Vernal Pool,Southern Interior Basalt Flow Vernal Pool,"1554",a236703d-a521-41a3-a2a1-5d03a0cf4a3f
Southern Interior Cypress Forest,Southern Interior Cypress Forest,"1555",783c31a4-ce72-42b5-a45f-e7a3c066e773
Southern Maritime Chaparral,Southern Maritime Chaparral,"1556",f0acdc69-02be-4901-9888-85d5f09024bb
Southern Mixed Riparian Forest,Southern Mixed Riparian Forest,"1557",5e102b51-95a5-486e-9e2a-d0fa4abf823d
Southern Riparian Forest,Southern Riparian Forest,"1558",9dffc09b-7b6e-4531-87a6-58b0c34d0bbe
Southern Riparian Scrub,Southern Riparian Scrub,"1559",75acec95-0efd-4d24-ba47-be1a7ccde402
Southern Sycamore Alder Riparian Woodland,Southern Sycamore Alder Riparian Woodland,"1560",d2f2c33c-a391-4d45-a177-ab9d5d17322e
Southern Vernal Pool,Southern Vernal Pool,"1561",daff83b0-c0d8-4979-9d63-651b167dfc96
Southern Willow Scrub,Southern Willow Scrub,"1562",73c6db07-6c43-411a-a12c-30c0547dff06
Spanish Needle onion,Allium shevockii,"1563",fcf3c299-8f9a-4891-9077-d891b2f6bbf4
Sphagnum Bog,Sphagnum Bog,"1564",818650b0-4188-4dbc-b757-684095d20cf2
Spjut's bristle moss,Orthotrichum spjutii,"1565",29990c48-4ca9-4fe4-8ed8-1f3970518143
Springville clarkia,Clarkia springvillensis,"1566",ce051fb3-0ac1-4cc7-b83b-f2a7d22ecc22
Stabilized Interior Dunes,Stabilized Interior Dunes,"1567",0740cf61-1977-4c35-9a61-e28722108605
Stabilized and Partially Stabilized Desert Dunes,Stabilized and Partially Stabilized Desert Dunes,"1568",ab4da95d-1537-4393-9499-52aab3e70471
Stage's dufourine bee,Dufourea stagei,"1569",91fcd9f4-e362-43f7-b83d-93eeb6c0ff0a
Stanislaus harvestman,Calicina breva,"1570",0e091b78-818c-48aa-8680-3f5c61b03fee
Stanislaus monkeyflower,Erythranthe marmorata,"1571",f12b19cc-0e3e-4ebc-88a7-28cab5199d6f
Stebbins' harmonia,Harmonia stebbinsii,"1572",7e0f1edd-35cd-47e0-a1ba-95a71b652361
Stebbins' lewisia,Lewisia stebbinsii,"1573",3310ddf3-f0db-4135-8d93-3719ca517f43
Stebbins' lomatium,Lomatium stebbinsii,"1574",a89088b5-362a-4f60-9789-718feb1046f3
Stebbins' monardella,Monardella stebbinsii,"1575",042dc463-e21a-4ce1-b908-d85fadaa52e9
Stebbins' morning-glory,Calystegia stebbinsii,"1576",0fff70bc-e032-470a-ab6b-7bd1c26bcf25
Stebbins' phacelia,Phacelia stebbinsii,"1577",e0af455a-d3b6-4c9e-a209-123153c9ae2f
Steller (=northern) sea-lion,Eumetopias jubatus,"1578",dc8875bf-395d-4785-ae46-52c8c9997aa0
Stephens' beardtongue,Penstemon stephensii,"1579",d01fdc71-36de-4676-a4f3-f8744978d887
Stephens' kangaroo rat,Dipodomys stephensi,"1580",a39ee299-39e5-46d9-a5c5-ce3472fec694
Steven's sedge,Carex stevenii,"1581",b3c21634-26e5-496d-8c6a-abe800cab716
Stony Creek spurge,Euphorbia ocellata ssp. rattanii,"1582",9c14b551-7990-4db7-ac6e-48bb77fb5e09
Sucker Springs pyrg,Pyrgulopsis rupinicola,"1583",8550de03-1e2b-44f7-b485-1349bfb9a72e
Suckley's cuckoo bumble bee,Bombus suckleyi,"1584",1543974b-ab62-44f5-befa-b394fcd1704b
Suisun Marsh aster,Symphyotrichum lentum,"1585",07efdcdd-d946-42e6-bb2d-e10dbebf035e
Suisun shrew,Sorex ornatus sinuosus,"1586",315b2ab1-af28-4686-b0ce-d7dd63160443
Suisun song sparrow,Melospiza melodia maxillaris,"1587",7327f8fe-0d51-4f62-9be9-64066c5d0193
Suisun thistle,Cirsium hydrophilum var. hydrophilum,"1588",174100d3-dab9-460d-8270-d18096908dd8
Suksdorf's broom-rape,Orobanche ludoviciana var. arenosa,"1589",f453a192-5571-4afc-86c0-39e90faba780
Suksdorf's milk-vetch,Astragalus pulsiferae var. suksdorfii,"1590",3062e74b-c039-4cbf-9731-633575572a53
Sulphur Creek brodiaea,Brodiaea matsonii,"1591",de74647d-be9c-40dd-a936-4fa14535ed9f
Surprise Valley pyrg,Pyrgulopsis gibba,"1592",720af68c-96bd-46bf-98bc-cc7505d454a9
Susanville beardtongue,Penstemon sudans,"1593",44aa4986-3808-40ae-beaf-8fed99d987c6
Swainson's hawk,Buteo swainsoni,"1594",34de198d-eb29-4b13-b2af-2e9cd388d16f
Sweetwater Mountains draba,Draba incrassata,"1595",8ccf3ac8-0954-422b-a43b-1aa7abd44134
Sycamore Alluvial Woodland,Sycamore Alluvial Woodland,"1596",ba2b9d8d-9fed-4ac9-a396-56cc6792e054
Table Mountain harvestman,Calicina mesaensis,"1597",ca73a2ca-7053-4d1e-9c8c-8e34933fa617
Tahoe draba,Draba asterophora var. asterophora,"1598",8e0eda95-aea2-46d6-bf78-4859d70588cb
Tahoe yellow cress,Rorippa subumbellata,"1599",3b9d9d2b-1521-4a33-9b18-027616008059
Tahquitz ivesia,Ivesia callida,"1600",35d9836d-f01b-4f9c-b60b-c2be015f79e7
Tamalpais jewelflower,Streptanthus batrachopus,"1601",aa198284-829c-4320-8938-a1903ba681df
Tamalpais lessingia,Lessingia micradenia var. micradenia,"1602",4598085f-dd64-47a1-a787-059f842f5e14
Tamalpais oak,Quercus parvula var. tamalpaisensis,"1603",1dbb6104-5896-404a-859c-0a82449df8ec
Tecate cypress,Hesperocyparis forbesii,"1604",3f1fde5a-ff0a-49bb-9070-3ae2a2b2dfa1
Tecate tarplant,Deinandra floribunda,"1605",7c2ddafe-49c1-4564-bd26-69e42f82dfe9
Tecopa bird's-beak,Chloropyron tecopense,"1606",d5637195-f431-4437-ab44-42d3c59aae4c
Tehachapi Mountain silverspot butterfly,Speyeria egleis tehachapina,"1607",b3d53997-d404-4b6c-9373-59dbb2fbe163
Tehachapi buckwheat,Eriogonum callistum,"1608",76665cbb-1235-4283-9dc4-527b55e494e7
Tehachapi monardella,Monardella linoides ssp. oblonga,"1609",a8d59fa5-d3ee-4714-9356-e7b856a0e715
Tehachapi pocket mouse,Perognathus alticola inexpectatus,"1610",284cdff5-82fc-4fa7-bd8d-8b1a3bcac845
Tehachapi slender salamander,Batrachoseps stebbinsi,"1611",f3d5453c-9e36-4ff5-a3dc-6241fa031447
Tehama County western flax,Hesperolinon tehamense,"1612",08c681e5-8e2e-490d-b511-6ba8ad9c9ff1
Tehama chaparral,Trilobopsis tehamana,"1613",22b029ef-b454-4900-b055-86d4002eda61
Tehipite Valley jewelflower,Streptanthus fenestratus,"1614",f476cfba-6c18-4e2e-ac75-415d090ad9dd
Tejon poppy,Eschscholzia lemmonii ssp. kernensis,"1615",168dd42b-6bf8-41d7-a098-5f9eeb80ce17
Telescope Peak bedstraw,Galium hypotrichium ssp. tomentellum,"1616",c9c8cf76-da69-4848-b71f-c793dafba02e
Temblor buckwheat,Eriogonum temblorense,"1617",dd8a4284-ff62-4c20-ba6a-65d148e6c8c1
Temblor legless lizard,Anniella alexanderae,"1618",4cbb7f7b-7aa1-4263-8574-16ea8f0355a3
Ten Mile shoulderband,Noyo intersessa,"1619",a4ddb305-fc4f-4fda-a75f-029079bd5c67
Texas Spring amphipod,Hyalella muerta,"1620",1f7a8974-81a7-46fb-a0f4-88d2920e3c8a
The Cedars buckwheat,Eriogonum cedrorum,"1621",de7a262b-a677-4a85-8972-7dde37278086
The Cedars fairy-lantern,Calochortus raichei,"1622",14623fad-fa12-4f11-815a-f2a2498cf8ce
The Cedars manzanita,Arctostaphylos bakeri ssp. sublaevis,"1623",91b26da6-0d34-4525-b6f7-2a773cf92c8b
The Lassics lupine,Lupinus constancei,"1624",bb35814e-1f11-4e5c-8a9b-555a475661eb
The Lassics sandwort,Sabulina decumbens,"1625",bd2e4452-6280-4d5a-bf5e-16e1a5a4c582
The Needles buckwheat,Eriogonum breedlovei var. shevockii,"1626",6fec524f-12b2-409c-821a-ae5736bcac46
Thompson's beardtongue,Penstemon thompsoniae,"1627",d1848985-4541-4061-b882-0c52b9dbf8bc
Thorne's buckwheat,Eriogonum thornei,"1628",e585dac7-b43e-4fd6-8b27-0f07a69986f1
Thorne's hairstreak,Callophrys thornei,"1629",b71c71e1-a5df-4648-8d1b-dd98e33d6fcc
Thorne's royal larkspur,Delphinium variegatum ssp. thornei,"1630",8a0add23-e96a-428a-bad0-42c552ad5413
Three Peaks jewelflower,Streptanthus morrisonii ssp. elatus,"1631",d55b7b9d-2cbb-4004-b8b0-9020956e2964
Thurber's pilostyles,Pilostyles thurberi,"1632",9865020e-c69b-45fb-a2eb-61d371b5da28
Thurber's reed grass,Calamagrostis crassiglumis,"1633",b8732bdf-4493-4d56-bdaf-f96b6042bda8
Tiburon buckwheat,Eriogonum luteolum var. caninum,"1634",302eb34d-579c-413e-9f6a-809059d6a8dc
Tiburon jewelflower,Streptanthus glandulosus ssp. niger,"1635",7472e117-48f6-43f2-be5e-04d30170dee1
Tiburon mariposa-lily,Calochortus tiburonensis,"1636",2f3c2975-06d7-446d-be2a-344af1d0f726
Tiburon micro-blind harvestman,Microcina tiburona,"1637",dec8f5d4-8978-44e1-a63a-9644dd921b91
Tiburon paintbrush,Castilleja affinis var. neglecta,"1638",27b2f7e2-c5b9-423b-a9d9-444c7f551ee9
Tidestrom's lupine,Lupinus tidestromii,"1639",b40506d7-0f1b-4293-b70f-b5e6025740dc
Tidestrom's milk-vetch,Astragalus tidestromii,"1640",be1d521d-b667-4055-a4e4-a4940ba47f0b
Tiehm's rockcress,Boechera tiehmii,"1641",3a05196e-c387-4f34-8b4b-9bd875b34c2c
Tioga Pass sedge,Carex tiogana,"1642",54bb5308-eaf3-4ecf-ad52-15364ba5b2f0
Tipton kangaroo rat,Dipodomys nitratoides nitratoides,"1643",afb2fc32-a410-4371-b392-79eb0986a82a
Toiyabe bluebells,Mertensia cusickii,"1644",4e5d8bbf-99d9-47b5-a9d4-550a968303df
Tomales isopod,Caecidotea tomalensis,"1645",448d6734-17a6-425a-9fb8-3a091742a9dc
Tomales roach,Lavinia symmetricus ssp. 2,"1646",d8c07a0e-e91d-437a-a33a-552a0557cf31
Tonopah milk-vetch,Astragalus pseudiodanthus,"1648",3f50d5c2-f7e5-48bf-bc05-9720901fc0d0
Toren's grimmia,Grimmia torenii,"1649",9dac2499-3808-416a-bc43-527db1dc9a34
Toro manzanita,Arctostaphylos montereyensis,"1650",a5403a60-eb9e-4c05-87bd-f313193242cf
Torrey Pine Forest,Torrey Pine Forest,"1651",3f76edc8-62cf-44ca-9983-e5c752600795
